storage_type,uid,basin,formation_id,state,lon,lat
SALINE,191,,Mount Simon5,IN,-86.946409,38.747523
SALINE,192,,Mount Simon6,IN,-86.053129,40.205727
SALINE,193,,Mount Simon7,MI,-85.777388,42.285556
SALINE,194,,Mount Simon8,MI,-83.66684,42.225355
SALINE,195,,Mount Simon9,MI,-84.57742,43.875775
SALINE,196,,Mount Simon10,OH,-83.760229,40.092839
SALINE,197,,Mount Simon11,KY,-84.596499,38.291331
SALINE,198,,Muddy1,WY,-108.550954,44.316664
SALINE,199,,Muddy2,WY,-108.409006,44.294862
SALINE,200,,Muddy3,MT,-109.117305,45.152116
SALINE,201,,Muddy4,MT,-106.220976,45.399568
SALINE,202,,Muddy5,CO,-107.939045,40.611594
SALINE,203,,Muddy6,WY,-108.488886,41.830741
SALINE,204,,Muddy7,WY,-105.661316,43.864678
SALINE,205,,Muddy8,WY,-108.068245,43.052502
SALINE,206,,Navajo01,UT,-110.767979,38.962825
SALINE,207,,Niagaran01,MI,-84.548851,43.876485
SALINE,208,,Nugget1,CO,-107.939045,40.611594
SALINE,209,,Nugget2,WY,-108.488886,41.830741
SALINE,210,,Nugget3,WY,-110.774115,42.004354
SALINE,211,,Nugget4,WY,-108.273065,43.067759
SALINE,212,,Oriskany1,MD,-79.197851,39.539686
SALINE,213,,Oriskany2,OH,-81.432463,40.061158
SALINE,214,,Oriskany3,OH,-80.855459,40.478602
SALINE,215,,Oriskany4,PA,-77.929209,40.91741
SALINE,216,,Oriskany5,PA,-78.99886,41.504503
SALINE,217,,Oriskany6,WV,-80.508034,38.611997
SALINE,218,,Oriskany7,WV,-81.798152,38.455235
SALINE,219,,Paluxy1,TX,-95.422424,32.490719
SALINE,220,,Paluxy2,TX,-95.420633,32.267313
SALINE,221,,Paluxy3,TX,-95.242972,32.316896
SALINE,222,,Paluxy4,AL,-87.321291,31.485687
SALINE,223,,Paluxy5,FL,-85.850991,30.522298
SALINE,224,,Paluxy6,MS,-89.648985,31.766773
SALINE,225,,Panoche1a,CA,-120.12411,36.688649
SALINE,226,,Panoche1b,CA,-120.123373,36.68916
SALINE,227,,Paradox1,UT,-109.784291,38.164558
SALINE,228,,Potsdam1,PA,-79.37743,41.538398
SALINE,229,,Queen1,TX,-102.452467,31.794064
SALINE,230,,Queen2,NM,-103.618913,32.964927
SALINE,231,,Reagan01,CO,-102.494834,37.568758
SALINE,232,,Reagan02,NE,-100.773843,40.443608
SALINE,233,,Reagan03,KS,-99.818561,39.078589
SALINE,234,,Reagan04,KS,-100.296748,37.895391
SALINE,235,,Reagan05,OK,-99.004941,36.103341
SALINE,236,,Reagan06,TX,-100.997608,35.998986
SALINE,237,,Red River1,ND,-101.13609,47.614641
SALINE,238,,Red River2,MT,-105.128084,47.582421
SALINE,239,,Repetto Sst1,CA,-118.142696,33.888938
