,County,State,Total Biomass (dry tons),Gasification Plants,Weighted Average Cost ($/dt),Weighted Average MC,Weighted Average LCA (kg CO2e/dt),Raw Biomass (tons),Pretreated Biomass,Trucks Per Day,Total Transportation Cost ($/dt),Best Formation,Best Formation State,Raw Distance (mi),Transport Cost ($/t),Storage Cost ($/t),T&S Cost ($/t)
237,Hamilton,NE,480493,1,55.98380465720136,0.2002313620399806,-1.3971731822676476,600790,529757.78,25,13.44181857468238,Arbuckle4,KS,229.1,17.28,8.38,25.66
245,Nance,NE,393930,1,56,0.2,-1.428796954,492412.5,434307.825,25,13.437931166474266,Maha01,NE,234.1,17.28,9.23,26.51
151,Hendricks,IN,384744,1,56,0.2,-1.428796954,480930,424180.26,25,13.437931166474266,Mount Simon6,IN,38.3,3.18,7.41,10.59
183,Crawford,IA,372665,1,56,0.2,-1.428796954,465831.25,410863.1625,25,13.437931166474266,Mount Simon3,IL,352.5,25.79,7.65,33.44
104,Cass,IL,404637,1,56,0.2,-1.428796954,505796.25,446112.2925,25,13.437931166474266,Mount Simon3,IL,53.3,4.43,7.65,12.08
367,Turner,SD,362209,1,56.00803334727975,0.1998852378960035,-1.320714159775174,452696.3095238095,399330.0973809524,25,13.43600373640165,Maha01,NE,305.1,22.7,9.23,31.93
362,Ford,IL,419150,1,56,0.2,-1.428796954,523937.5,462112.875,25,13.437931166474266,Mount Simon3,IL,71.2,5.66,7.65,13.31
354,Dodge,WI,327103,1,56,0.2,-1.428796954,408878.75,360631.0575,25,13.437931166474266,Mount Simon7,MI,167.9,12.95,9.15,22.1
341,McLeod,MN,430971,1,56.01168458473186,0.1998330773609734,-1.2715894384778588,538601.369047619,475136.3122619048,25,13.435127882721964,Basal Cambrian8,ND,327.2,24.25,11.96,36.21
332,Nobles,MN,364633,1,56,0.2,-1.428796954,455791.25,402007.8825,25,13.437931166474266,Maha01,NE,379.3,27.33,9.23,36.56
335,Perkins,NE,333227,1,56,0.2,-1.428796954,416533.75,367382.7675,25,13.437931166474266,Maha01,NE,57,4.43,9.23,13.66
317,Madison,IN,288018,1,56,0.2,-1.428796954,360022.5,317539.84500000003,25,13.437931166474266,Mount Simon6,IN,17.9,3.18,7.41,10.59
322,Shelby,IN,442795,1,56,0.2,-1.428796954,553493.75,488181.4875,25,13.437931166474266,Mount Simon6,IN,49.2,3.96,7.41,11.37
416,Franklin,IA,314274,1,56,0.2,-1.428796954,392842.5,346487.085,25,13.437931166474266,Mount Simon3,IL,285.5,20.83,7.65,28.48
420,Hamilton,IA,436510,1,56,0.2,-1.428796954,545637.5,481252.275,25,13.437931166474266,Mount Simon3,IL,288.8,21.57,7.65,29.22
485,Vanderburgh,IN,334160,1,56.08028411456944,0.1988530840775795,-0.3486330905003938,417102.0238095238,368362.3659523809,25,13.418693524897035,Knox5,KY,41,3.18,10.89,14.07
369,Brookings,SD,317577,1,56.02848841971603,0.1995930225754854,-1.0455061663953968,396769.40476190473,350112.09119047615,25,13.431098474142509,Basal Cambrian8,ND,274.5,20.43,11.96,32.39
386,Cerro Gordo,IA,361255,1,56,0.2,-1.428796954,451568.75,398283.6375,25,13.437931166474266,Mount Simon3,IL,302,21.97,7.65,29.62
388,Chickasaw,IA,304788,1,56,0.2,-1.428796954,380985,336028.77,25,13.437931166474266,Mount Simon3,IL,269.4,20.01,7.65,27.66
379,McCook,SD,265769,1,56,0.2,-1.428796954,332211.25,293010.3225,25,13.437931166474266,InyanKara2,SD,284.8,20.83,10.95,31.78
374,Hutchinson,SD,286948,1,56.07776185398979,0.1988891163715743,-0.3825682562186297,358187.61904761905,316319.3847619048,25,13.419297069699631,Maha01,NE,278.7,20.43,9.23,29.66
555,Fillmore,NE,438736,1,55.96959579261658,0.2004343458197632,-1.3694282993225133,548717.9166666666,483730.8691666666,25,13.445231016333889,Arbuckle4,KS,213.9,16.13,8.38,24.51
537,Miami,IN,373207,1,56,0.2,-1.428796954,466508.75,411460.7175,25,13.437931166474266,Mount Simon6,IN,39,3.18,7.41,10.59
577,Fulton,OH,342056,1,56.26504156538108,0.1962136919231274,2.137142868409227,425555.8928571429,376951.58321428567,25,13.37463057675184,Mount Simon7,MI,97,7.78,9.15,16.93
638,Cass,IN,461559,1,56,0.2,-1.428796954,576948.75,508868.7975,25,13.437931166474266,Mount Simon6,IN,41.5,3.18,7.41,10.59
661,Clark,OH,291363,1,56,0.2,-1.428796954,364203.75,321227.7075,25,13.437931166474266,Mount Simon6,IN,121.9,9.72,7.41,17.13
670,Des Moines,IA,317390,1,56,0.2,-1.428796954,396737.5,349922.475,25,13.437931166474266,Mount Simon3,IL,123.8,9.72,7.65,17.37
639,Warren,IL,434643,1,56,0.2,-1.428796954,543303.75,479193.9075,25,13.437931166474266,Mount Simon3,IL,96.9,7.78,7.65,15.43
652,Adams,IN,489276,1,56,0.2,-1.428796954,611595,539426.79,25,13.437931166474266,Mount Simon6,IN,69.6,5.66,7.41,13.07
680,York,NE,421974,1,55.98832399031422,0.2001668001383683,-1.4059978401042028,527577.5,465235.355,25,13.440733561746606,Arbuckle4,KS,236.1,17.71,8.38,26.09
678,Cedar,IA,336970,1,56,0.2,-1.428796954,421212.5,371509.425,25,13.437931166474266,Mount Simon3,IL,162,12.2,7.65,19.85
681,Merrick,NE,393930,1,56,0.2,-1.428796954,492412.5,434307.825,25,13.437931166474266,Maha01,NE,232.5,17.28,9.23,26.51
459,Tazewell,IL,333449,1,56,0.2,-1.428796954,416811.25,367627.5225,25,13.437931166474266,Mount Simon3,IL,43.1,3.96,7.65,11.61
487,Allen,OH,357720,1,56.17179531174787,0.1975457812607447,0.8825829330909831,445782.4404761905,394274.1601190476,25,13.39683271909194,Mount Simon6,IN,109.3,8.52,7.41,15.93
532,Wabash,IN,301329,1,56,0.2,-1.428796954,376661.25,332215.2225,25,13.437931166474266,Mount Simon6,IN,46.4,3.96,7.41,11.37
398,Winnebago,IA,303895,1,56,0.2,-1.4287969539999998,379868.75,335044.2375,25,13.437931166474266,Mount Simon3,IL,333.3,24.25,7.65,31.9
381,Lac qui Parle,MN,309591,1,56,0.2,-1.428796954,386988.75,341324.0775,25,13.437931166474266,Basal Cambrian8,ND,254.8,18.85,11.96,30.81
698,Kearney,NE,403526,1,55.97179628596056,0.2004029102005634,-1.3737250839027402,504661.6666666667,444908.2566666667,25,13.444702426163069,Arbuckle4,KS,195.4,14.55,8.38,22.93
719,Marshall,IL,519315,1,56,0.2,-1.428796954,649143.75,572544.7875,25,13.437931166474266,Mount Simon3,IL,76.9,6.11,7.65,13.76
684,Dane,WI,359958,1,56,0.2,-1.428796954,449947.5,396853.695,25,13.437931166474266,Mount Simon7,MI,192.9,14.55,9.15,23.7
690,Sanilac,MI,271844,1,56.42049084938736,0.1939929878658947,4.228598944010066,337272.5,299500.34500000003,25,13.337780901825145,Mount Simon8,MI,93.3,7.32,14.71,22.03
682,Sully,SD,266341,1,57.2947650027027,0.1815033571042472,15.991316291863486,325402.6785714286,293024.01964285714,25,13.134256598959103,InyanKara2,SD,130.4,10.15,10.95,21.1
